                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3749,                  2.342,                 1.7385,                0.61951,                0.51613,                 0.5702,                0.19268,                 1.8982,                 3.2269,                  2.429,             0.00065778,             0.00065778,             0.00065778
                      2,                 1.4438,                 2.0972,                 1.7747,                0.26048,                0.35484,                0.19549,                0.05534,                 2.1463,                 3.3347,                 2.7069,              0.0012982,              0.0012982,              0.0012982
                      3,                 1.5337,                 2.0459,                  1.853,                0.44604,                0.54839,                  0.377,                0.12242,                 2.0793,                 2.6692,                 2.7719,              0.0019123,              0.0019123,              0.0019123
                      4,                 1.5809,                 2.0263,                 1.8843,                0.34846,                0.37973,                0.31711,                0.12219,                 1.8627,                 2.6205,                  2.647,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5387,                 1.8697,                 1.8522,                0.19914,                0.32258,                0.14044,                0.04588,                 2.0814,                  3.329,                 2.5767,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.4835,                 1.8486,                 1.7807,                0.35118,                0.48387,                 0.3693,                0.10664,                 1.9421,                  2.428,                 2.5897,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.441,                  1.756,                 1.7828,                0.41896,                0.51613,                0.47729,                0.24729,                 1.5958,                  1.869,                 2.1433,               0.001802,               0.001802,               0.001802
                      8,                 1.4234,                 1.6769,                 1.7014,                0.59064,                0.77419,                0.65026,                0.30259,                 1.5712,                 1.7907,                 2.2198,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3587,                 1.6119,                 1.6961,                0.72642,                 0.6129,                0.65704,                0.30962,                 1.6809,                 1.6469,                 2.3658,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3918,                 1.5801,                 1.6938,                0.78375,                0.58065,                0.66128,                0.29833,                 1.8785,                 1.7309,                 2.4187,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3229,                 1.5298,                 1.6629,                0.53878,                0.67832,                0.58745,                 0.2718,                 1.6531,                 1.8013,                 2.1807,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.3661,                 1.5156,                 1.6705,                0.55471,                0.70968,                0.62695,                0.28768,                 1.5299,                 1.6088,                 2.1097,               0.001604,               0.001604,               0.001604
                     13,                 1.2955,                 1.4947,                 1.6208,                0.51443,                0.64516,                0.55475,                0.22168,                 1.5975,                 1.6785,                 2.1837,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2675,                 1.4285,                 1.6039,                0.63699,                0.80645,                0.73586,                0.40618,                 1.5579,                 1.3513,                 2.0367,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2271,                 1.3571,                  1.585,                0.73499,                 0.6129,                0.70309,                0.37095,                 1.6313,                 1.4642,                 2.1729,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2201,                 1.3677,                 1.5664,                0.71698,                0.51613,                0.65963,                0.34177,                 1.7457,                 1.5508,                 2.2509,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2193,                 1.3875,                 1.5971,                0.62329,                0.58065,                0.67582,                0.38801,                 1.4223,                 1.5201,                 1.9532,               0.001406,               0.001406,               0.001406
                     18,                  1.153,                 1.2903,                 1.5318,                0.79159,                0.64516,                0.69269,                0.38649,                 1.5255,                 1.4287,                 2.0892,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1574,                 1.2751,                 1.5401,                 0.7673,                0.77419,                0.79712,                0.48809,                 1.4066,                 1.2071,                 1.9719,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1277,                 1.2185,                 1.5067,                0.68094,                0.74194,                0.82129,                0.49067,                 1.3229,                 1.1704,                 1.8802,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1195,                 1.2174,                 1.4849,                0.95396,                0.66872,                0.81309,                0.49969,                 1.2089,                 1.2656,                 1.7835,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.0851,                 1.1738,                  1.483,                0.92057,                 0.7479,                0.84712,                0.58895,                 1.1055,                 1.0744,                 1.6829,               0.001208,               0.001208,               0.001208
                     23,                 1.1497,                 1.2165,                 1.5232,                0.72251,                0.58065,                0.70546,                0.35213,                 1.5674,                 1.5486,                 2.0224,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0422,                 1.1334,                 1.4428,                0.76327,                0.83223,                0.83343,                0.47147,                 1.4118,                  1.194,                  1.923,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.0651,                 1.1073,                 1.4475,                0.81903,                0.77419,                 0.8245,                0.53446,                  1.163,                 1.1784,                 1.7025,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.0631,                 1.0855,                 1.4571,                 0.6648,                 0.6129,                0.68449,                0.41012,                 1.3819,                  1.353,                 1.9652,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.0311,                 1.0919,                 1.4299,                0.85199,                0.74276,                0.86494,                 0.4607,                 1.3937,                 1.0937,                 1.9551,                0.00101,                0.00101,                0.00101
                     28,                0.98268,                 1.0425,                 1.3861,                0.62328,                0.64516,                0.61078,                0.31088,                 1.4236,                 1.4719,                 1.9641,              0.0009704,              0.0009704,              0.0009704
                     29,                0.99151,                 1.0246,                 1.3941,                0.81901,                0.58403,                0.75431,                0.46769,                 1.3731,                 1.3855,                 1.9368,              0.0009308,              0.0009308,              0.0009308
                     30,                0.97904,                0.96812,                 1.3959,                0.76021,                0.64516,                0.74137,                0.45709,                 1.3373,                  1.314,                 1.8759,              0.0008912,              0.0008912,              0.0008912
                     31,                  0.959,                 1.0039,                 1.3892,                0.87639,                0.80645,                0.84596,                0.53309,                 1.3237,                 1.0881,                 1.8026,              0.0008516,              0.0008516,              0.0008516
                     32,                0.93894,                0.97075,                 1.3749,                0.85747,                0.67742,                0.75984,                0.46553,                  1.323,                 1.2261,                 1.8691,               0.000812,               0.000812,               0.000812
                     33,                0.88918,                0.91231,                 1.3243,                0.85525,                0.77419,                0.86856,                0.53466,                 1.3054,                 1.1631,                 1.7993,              0.0007724,              0.0007724,              0.0007724
                     34,                 0.9173,                0.93065,                 1.3526,                0.78415,                0.70333,                0.72747,                0.44426,                 1.3526,                 1.2638,                 1.8255,              0.0007328,              0.0007328,              0.0007328
                     35,                0.91105,                0.89836,                 1.3511,                0.76845,                0.77419,                0.82746,                 0.4932,                 1.2615,                 1.1523,                 1.8393,              0.0006932,              0.0006932,              0.0006932
                     36,                0.87764,                 0.8671,                 1.3111,                0.76117,                0.67742,                 0.7217,                 0.4751,                 1.2753,                 1.3647,                 1.8022,              0.0006536,              0.0006536,              0.0006536
                     37,                0.87495,                0.86335,                 1.3125,                0.88803,                 0.7677,                0.80533,                0.45541,                  1.379,                 1.1667,                 1.9028,               0.000614,               0.000614,               0.000614
                     38,                0.83755,                0.80239,                 1.2743,                0.88164,                0.67742,                0.80817,                0.54908,                 1.1845,                 1.0955,                 1.7026,              0.0005744,              0.0005744,              0.0005744
                     39,                0.86283,                0.82075,                 1.2996,                0.86726,                0.70968,                0.80183,                0.54318,                 1.2068,                 1.1419,                 1.6481,              0.0005348,              0.0005348,              0.0005348
                     40,                0.82314,                 0.7715,                 1.2666,                0.87748,                0.64516,                0.79003,                0.49653,                 1.2945,                 1.1655,                 1.8255,              0.0004952,              0.0004952,              0.0004952
                     41,                0.72474,                 0.7344,                 1.2749,                0.78083,                0.74194,                0.79016,                0.50771,                 1.2849,                 1.1917,                 1.8193,              0.0004556,              0.0004556,              0.0004556
                     42,                0.67598,                0.65477,                 1.2151,                0.78783,                0.83849,                0.83192,                 0.5254,                 1.3523,                 1.1501,                 1.9414,               0.000416,               0.000416,               0.000416
                     43,                0.66481,                0.62961,                 1.2005,                0.87919,                0.70443,                0.80861,                0.56722,                 1.1345,                 1.0335,                 1.7005,              0.0003764,              0.0003764,              0.0003764
                     44,                0.61027,                0.58162,                 1.1726,                 0.9433,                0.70968,                 0.8268,                0.55163,                 1.1314,                 1.0787,                 1.7264,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.5968,                0.56166,                 1.1505,                0.92825,                0.83474,                0.86934,                 0.5232,                 1.2339,                 1.0526,                 1.7794,              0.0002972,              0.0002972,              0.0002972
                     46,                0.57012,                0.50293,                  1.123,                0.95273,                0.80645,                0.86239,                0.53415,                 1.2734,                 1.1023,                 1.7937,              0.0002576,              0.0002576,              0.0002576
                     47,                0.55232,                0.48959,                 1.1078,                0.88439,                0.80645,                0.85839,                0.56765,                 1.2131,                 1.0284,                 1.7909,               0.000218,               0.000218,               0.000218
                     48,                0.52241,                0.48269,                 1.0797,                0.91025,                0.80645,                0.83986,                0.55869,                  1.203,                 1.1167,                 1.7471,              0.0001784,              0.0001784,              0.0001784
                     49,                0.50433,                 0.4609,                 1.0757,                0.92481,                0.80645,                0.87069,                0.56422,                 1.2141,                 1.0923,                 1.7867,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.4987,                0.45632,                 1.0785,                0.91995,                0.80645,                0.85962,                0.56223,                 1.2374,                 1.1072,                 1.7917,               9.92e-05,               9.92e-05,               9.92e-05
